id,hour,lat,lon,mag,depth,nsta,label
00427,16,34.1023,139.4622,3.2,11.5,40,1
00429,16,34.0897,139.4192,3.3,17.3,35,1
00434,17,34.1107,139.4240,3.2,12.8,31,1
00435,17,34.1327,139.4250,3.2,7.1,12,1
00438,18,34.0985,139.4140,4.1,12.1,39,1
00440,18,34.1243,139.4383,0.0,7.7,6,1
00441,18,34.1058,139.4392,4.4,12.8,34,1
00444,19,34.1018,139.4327,4.2,14.1,43,1
00445,20,34.1015,139.4145,4.3,13.4,37,1
00448,21,34.1183,139.4305,3.5,7.9,35,1
00449,21,34.1025,139.4122,4.6,10.9,45,1
00454,00,34.0997,139.4095,3.7,13.8,51,1
00455,00,34.1167,139.4160,3.6,0.0,27,1
00456,04,34.1012,139.4635,4.0,9.9,45,1
00457,05,34.1047,139.4153,4.1,15.1,41,1
00458,05,34.1218,139.4050,3.4,10.9,37,1
00459,05,34.0990,139.4485,3.8,11.9,51,1
00461,12,34.1013,139.4068,4.2,15.1,38,1
00462,12,34.1297,139.3953,4.7,12.7,41,1
00464,15,34.1212,139.4120,4.3,10.7,36,1
00466,15,34.1073,139.3620,4.3,15.2,39,1
00470,22,34.1387,139.3702,4.4,15.9,46,1
00471,23,34.2032,139.3315,4.4,16.6,41,1
00473,01,34.1113,139.3180,5.1,11.2,42,1
00474,01,34.1387,139.3785,4.6,15.9,42,1
00475,02,34.1210,139.3742,4.4,14.6,42,1
00478,08,34.1420,139.3718,4.5,16.5,41,1
00479,09,34.1393,139.3673,3.9,16.9,39,1
00480,10,34.1170,139.3702,4.9,16.5,42,1
00482,12,34.1432,139.3812,4.0,14.3,27,1
00487,14,34.1307,139.3678,4.9,18.9,38,1
00489,16,34.1567,139.3142,4.2,15.4,32,1
00490,18,34.1052,139.2985,4.4,22.4,26,1
00491,19,34.1467,139.3567,4.3,18.2,38,1
00496,23,34.1382,139.3638,4.1,17.2,35,1
00498,23,34.1335,139.3077,4.5,17.7,28,1
00499,00,34.1422,139.3417,4.8,19.3,41,1
00500,01,34.1727,139.3657,4.3,16.6,40,1
00502,10,34.1595,139.3317,4.2,20.2,41,1
00506,00,34.1923,139.2950,4.1,19.2,35,1
00507,00,34.1255,139.3743,3.5,17.7,37,1
00511,12,34.1968,139.2725,4.6,19.2,55,1
00513,13,34.1995,139.2672,4.5,18.9,53,1
00515,14,34.2050,139.2693,4.2,18.5,39,1
00516,16,34.1948,139.2570,4.3,15.1,35,1
00517,16,34.1977,139.2692,4.1,18.9,38,1
00522,20,34.1883,139.2275,3.3,14.1,41,1
00524,23,34.1492,139.3417,4.0,19.1,41,1
00525,02,34.2147,139.3602,4.5,16.3,41,1
00526,02,34.1572,139.3545,4.6,20.0,41,1
00529,07,34.1543,139.3402,4.2,18.4,42,1
00531,17,34.1522,139.3412,4.4,18.0,37,1
00533,19,34.1803,139.1318,2.7,10.8,36,1
00536,05,34.1523,139.3438,4.1,16.8,41,1
00538,07,34.1988,139.2637,4.4,15.1,38,1
00539,09,34.1595,139.3588,4.4,15.8,33,1
00542,11,34.1332,139.3285,4.4,13.2,29,1
00545,11,34.1642,139.3092,4.3,17.0,35,1
00546,12,34.1303,139.3333,4.5,19.4,36,1
00547,13,34.1460,139.3188,3.4,15.8,25,1
00548,13,34.1498,139.3192,4.1,17.4,36,1
00549,14,34.1472,139.3642,4.4,14.6,39,1
00550,14,34.1590,139.3288,4.3,15.0,36,1
00556,23,34.1558,139.3103,4.5,17.2,33,1
00559,01,34.1648,139.3370,3.7,16.0,41,1
00560,02,34.1605,139.3485,3.8,16.8,37,1
00563,10,34.1423,139.2580,3.4,15.4,37,1
00566,13,34.1460,139.3685,4.3,16.8,38,1
00571,20,34.1490,139.3585,3.2,15.2,33,1
