id,hour,lat,lon,mag,depth,nsta,label
04463,00,32.6897,130.7455,3.9,11.3,20,1
04464,00,32.6905,130.7362,3.1,12.7,19,1
04467,01,32.7625,130.8152,3.6,11.0,20,1
04472,06,32.6663,130.7638,3.2,5.2,20,1
04473,07,32.6653,130.7282,3.5,11.9,20,1
04476,09,32.7067,130.7520,3.9,13.4,20,1
04479,17,32.8410,130.8842,3.5,11.9,20,1
04480,18,32.7105,130.7503,3.9,13.4,20,1
04481,01,32.9407,130.9960,3.9,11.8,20,1
04482,01,33.2708,131.3453,3.7,8.9,16,1
04487,01,32.9147,131.0078,3.6,8.5,11,1
04489,01,33.2395,131.3317,3.3,8.6,14,1
04492,01,32.9500,131.0997,3.6,9.0,12,1
04493,01,33.2750,131.4225,0.0,3.0,7,1
04494,01,32.6912,130.7358,3.6,12.8,20,1
04496,01,32.6958,130.7448,3.5,9.6,20,1
04497,01,32.8118,130.8475,3.9,4.1,20,1
04498,01,32.7252,130.7455,3.8,16.0,19,1
04499,01,33.2872,131.4515,3.0,3.9,7,1
04500,01,32.9805,131.1055,3.9,11.9,20,1
04504,02,32.9505,131.1027,3.3,9.8,16,1
04508,02,32.7237,130.7867,3.3,6.0,5,1
04511,02,32.9558,131.1057,3.1,10.8,17,1
04512,02,32.6933,130.7275,3.3,13.5,16,1
04515,02,32.9542,131.1057,3.4,8.4,13,1
04516,02,32.7578,130.7662,3.7,12.8,20,1
04518,02,32.9727,131.1013,3.1,4.9,9,1
04521,02,33.2947,131.4517,2.6,4.7,9,1
04523,02,32.8690,130.8410,3.5,14.5,20,1
04524,02,32.7562,130.7500,3.6,16.6,20,1
04525,02,32.8298,130.8912,3.4,11.0,20,1
04526,02,33.2990,131.4625,3.4,6.9,20,1
04528,02,32.7413,130.7587,3.9,13.0,20,1
04529,02,32.8303,130.8380,3.8,13.2,20,1
04530,02,32.7342,130.7680,3.4,12.1,20,1
04531,03,32.9742,131.0693,3.7,10.2,15,1
04532,03,33.2783,131.4507,0.0,4.0,4,1
04533,03,33.2987,131.4248,3.5,3.9,14,1
04538,03,32.9790,131.0935,3.8,11.0,20,1
04539,03,32.7092,130.7455,2.1,12.5,18,1
04540,03,32.6942,130.7795,3.6,9.4,20,1
04541,03,32.8350,130.8883,3.3,12.9,20,1
04545,04,33.1280,131.1723,3.9,7.6,18,1
04548,04,33.0163,131.1773,4.1,11.9,20,1
04549,04,32.7445,130.7840,3.3,8.7,14,1
04552,04,32.9700,131.1172,3.4,8.5,10,1
04555,04,32.6495,130.7268,3.9,8.7,20,1
04556,04,32.6718,130.7247,3.2,8.9,20,1
04557,04,32.9252,131.0672,3.3,8.8,19,1
04560,04,33.0217,131.1663,3.6,11.5,20,1
04564,05,33.2982,131.4875,3.3,6.7,14,1
04566,05,32.7163,130.7795,3.2,8.8,15,1
04569,05,33.2783,131.3845,2.9,6.7,20,1
04572,06,33.2842,131.3410,3.0,6.8,16,1
04573,06,32.7998,130.7788,3.7,16.2,20,1
04575,06,32.9958,131.0963,4.5,8.9,20,1
04576,06,33.2712,131.3635,3.2,8.5,20,1
04577,07,32.9777,131.1085,3.8,10.7,20,1
04578,07,32.9540,131.1198,3.5,10.3,20,1
04580,07,33.2662,131.3803,2.9,10.0,14,1
04581,07,33.2977,131.4773,2.7,3.3,20,1
04583,07,33.2968,131.4622,3.2,4.0,20,1
04585,07,32.6628,130.7243,0.0,6.9,20,1
04589,07,32.9700,131.1067,3.6,10.3,20,1
04593,08,33.2990,131.5048,3.1,6.3,20,1
04594,09,33.2977,131.4783,2.4,5.7,20,1
04595,09,33.2373,131.3282,2.7,7.7,20,1
04596,09,32.8618,130.8225,3.6,12.9,20,1
04597,09,32.7018,130.6742,3.6,11.9,20,1
